MARKER	BETA	SE
rs1911223	-0.008845635	0.028647959
rs191762	-0.009972187	0.04058853
rs1921952	0.011578656	0.041927062
rs1950084	-4.90413E-05	0.071765433
rs1950803	0.016582434	0.03350878
rs195110	0.003412145	0.030105319
rs1954151	-0.014557481	0.03333994
rs1956673	0.016820736	0.033335278
rs1968730	-0.009338313	0.042814705
rs1975479	-0.003372574	0.066978116
rs1976700	-0.005145409	0.029641047
rs1980330	0.004867551	0.043068365
rs1991227	-0.006780854	0.084602674
rs2001998	-0.010825573	0.059585096
rs200217	0.01772899	0.101936225
rs2009083	0.021403508	0.062137682
rs201430	0.00043257	0.020521454
rs2019499	-0.049664383	0.056260484
rs2025632	0.017920662	0.055108321
rs2025645	-2.91988E-05	0.051438449
rs2026458	0.008081402	0.059194843
rs2054015	-0.001900955	0.050326423
rs2054931	-0.014175419	0.050780871
rs2058979	0.026467829	0.051861199
rs2064426	-0.003757385	0.050986973
rs2072063	0.026976453	0.054996868
rs2072432	-0.005481456	0.072941925
rs2073489	-0.009862266	0.022527125
rs2100710	-0.008093709	0.038161935
rs2101240	0.019372968	0.087836448
rs2105989	0.011043824	0.023528755
rs2113402	-0.026663103	0.089229893
rs2116082	0.018250053	0.041620705
rs2121667	-0.006238881	0.034876477
rs2122364	-0.007713788	0.027496098
rs2136777	0.011331785	0.082932092
rs2144641	-0.02518048	0.031390245
rs2146971	0.041183044	0.065189978
rs2158978	-0.002539551	0.034521734
rs2159544	-0.00640128	0.038446892
rs2168866	-0.007006419	0.055255277
rs2170777	-0.019516596	0.063591178
rs2174099	0.004126072	0.036930613
rs2179269	-0.017709254	0.055251862
rs2201888	0.004006165	0.057541399
rs2216227	0.005712117	0.035695666
rs2216590	0.000484245	0.049887423
rs222685	0.01769179	0.068058523
rs2228059	-0.002539046	0.024487035
rs2238439	-0.007672844	0.048769961
rs2238799	0.01579457	0.041453834
rs2239140	-0.002005591	0.030917705
rs2244450	-0.022956259	0.042606542
rs2247121	-0.02647599	0.031764615
rs2251519	-0.025393314	0.02659987
rs2253107	-0.004308729	0.068724716
rs2261210	0.019734547	0.035439316
rs2267750	0.007279191	0.0606211
rs2270094	-0.022960295	0.038022055
rs2270973	-0.009444034	0.032310323
rs2276232	0.004784845	0.023664796
rs2277586	-0.00364096	0.051571277
rs2279649	0.003064926	0.032083833
rs2291263	-0.004487284	0.03611149
rs2293445	-0.005115311	0.042188668
rs2298206	-0.012885725	0.069054323
rs2298483	0.035424766	0.069393373
rs2319078	-0.016088775	0.157985476
rs2322052	0.007918833	0.053341735
rs2334477	0.001904891	0.040859191
rs2349506	0.02916416	0.043775144
rs2356455	0.012292777	0.044052168
rs2364118	0.029359059	0.039313628
rs2380270	-0.013464093	0.055694103
rs2410993	-0.001622373	0.042146979
rs2419128	0.009435842	0.046883514
rs2425237	0.012097683	0.047062438
rs2446879	-0.015224059	0.048778007
rs2455305	0.001796321	0.04640102
rs2457228	0.007557267	0.05280946
rs2459442	0.003962267	0.053528398
rs2477914	0.028227414	0.031426234
rs248370	-0.001279936	0.052206414
rs2487883	-0.00019397	0.04500282
rs2501908	-0.015706314	0.08458902
rs2503918	-0.031605739	0.070477292
rs2504930	-0.005687995	0.038981504
rs252064	0.03858137	0.063195306
rs2524052	-0.001998844	0.049867609
rs2530547	-0.013761598	0.034445767
rs256440	-0.017029571	0.04241602
rs2576722	0.049013996	0.056343104
rs2588336	-0.017591153	0.073014735
rs2612314	0.010436011	0.018403862
rs2626415	-0.015284947	0.038570155
rs2630200	0.011026455	0.040629637
rs2631048	-0.002311233	0.063528096
rs2639420	-0.003569525	0.042404197
rs2644648	-0.004576398	0.041170243
rs2660692	0.005670464	0.041889752
rs2675301	-0.038813909	0.040392666
rs268485	-0.008176781	0.069516538
rs268597	-0.010563714	0.069865663
rs2689140	-0.017724647	0.042042747
rs2698032	0.013313299	0.044801812
rs2714174	-0.002163765	0.045775056
rs2717260	0.015890783	0.060147292
rs2725002	0.025856366	0.018904491
rs2726864	0.002154233	0.038913807
rs273674	0.0039839	0.073587076
rs2738287	-0.006052748	0.036520038
rs27482	0.008916056	0.034262565
rs275644	0.012355228	0.09427144
rs275821	-0.002838058	0.053043591
rs2769604	0.010622573	0.027883276
rs2778652	0.014219218	0.032290363
rs27959	0.03135026	0.090455096
rs280362	0.002513429	0.076819917
rs2816932	0.023584149	0.045807959
rs2829465	0.002477134	0.043111523
rs283044	0.004648197	0.02617519
rs2833740	0.006416444	0.042037126
rs2834833	-0.005435442	0.042414523
rs2835945	0.002501424	0.037731218
rs2837249	-0.008531641	0.03864835
rs2862349	-0.013618912	0.031969342
rs2867711	-0.009042505	0.02851434
rs286956	0.003447285	0.036682929
rs287979	-0.004142209	0.047779897
rs2883770	0.018557561	0.057421279
rs2901229	-3.48265E-05	0.035098235
rs2911927	0.017774392	0.083943808
rs2912007	0.004157477	0.043587029
rs291328	0.015085099	0.019588027
rs2940621	-0.005856131	0.043455347
rs2951468	-0.003790304	0.056687077
rs2958568	0.006233101	0.038476159
rs2961846	0.01174314	0.080366021
rs2962994	-0.017211689	0.035787406
rs2983363	0.005723731	0.056482551
rs2993292	0.003689904	0.042167618
rs3009517	-0.015770342	0.027403603
rs3009706	-0.013095319	0.050328717
rs3019293	0.018113676	0.03804396
rs3118865	-0.011327808	0.041297002
rs317981	-0.024479514	0.055797101
rs323254	0.009699704	0.035280474
rs330128	0.018594808	0.080609197
rs332373	0.021509847	0.08114462
rs333688	0.017925773	0.04211293
rs353274	0.014538974	0.038767432
rs353739	-0.007270838	0.057461183
rs360877	-0.001417805	0.018304957
rs361509	-0.005413046	0.021711154
rs363674	-0.04188134	0.087738707
rs3729598	-0.039825981	0.0826584
rs3739342	-0.047914514	0.076077117
rs3759919	-0.020007366	0.062835342
rs3766762	0.044186427	0.08417944
rs3776644	-0.013342049	0.066101271
rs3776959	-0.004392436	0.046809322
rs3777442	0.00552603	0.05144747
rs3781619	-0.021144027	0.044167915
rs3782181	0.02549001	0.044295579
rs3789342	-0.016271007	0.036428686
rs3800693	-0.000385505	0.0431216
rs3809353	0.006241456	0.059052732
rs3816067	0.017591662	0.093136196
rs3847326	-0.009835545	0.04400173
rs388338	0.009029921	0.04377908
rs3884620	0.046604018	0.059153287
rs3914472	-0.008692698	0.041465079
rs3937845	-0.013167319	0.039215922
rs3998159	0.005234911	0.051924494
rs4072337	-0.00286289	0.041583823
rs407546	0.004019166	0.055101108
rs4085876	-0.004391106	0.046792292
rs4121365	0.027918389	0.034764533
rs4147100	0.008746963	0.0416403
rs4148373	0.058914535	0.051093527
rs4234327	-0.021603323	0.045655411
rs4235883	-0.009398745	0.050630384
rs4237888	-0.023809084	0.054796968
rs4241784	-0.007230189	0.035971677
rs4278539	0.007689888	0.061203289
rs4306287	0.020768448	0.057338339
rs4316862	-0.019371233	0.050303148
rs4336603	0.000552019	0.02557997
rs4377998	0.001890377	0.031226164
rs4411102	-0.020982252	0.0395449
rs4418335	0.018521528	0.043785341
rs4419340	0.005789887	0.047549833
rs4427197	0.002369038	0.037536914
rs4445296	0.006768121	0.056892845
rs4447389	-0.01210644	0.062764293
rs4454845	0.004979474	0.025496195
rs4478433	0.041834419	0.063420333
rs4485132	-0.00848544	0.03695641
rs4486294	0.009665022	0.067442366
rs449140	-0.002568254	0.038696316
rs4495907	0.024418947	0.052543506
rs4506980	0.017417908	0.034047246
rs4507836	-0.014707211	0.039386419
rs4522437	-0.00560567	0.032485393
rs4527244	-0.015437007	0.061032163
rs4538888	0.019606836	0.036353938
rs4542390	0.005841414	0.034900263
rs4542471	-0.00120119	0.035059672
rs4567073	-0.025882841	0.036986458
rs458458	0.00241237	0.044416752
rs4591675	-0.0037807	0.058499091
rs4606049	0.018489489	0.05164182
rs4633062	-0.029540173	0.021894652
rs4664723	0.01278223	0.033168058
rs4697995	-0.005275631	0.083162525
rs4705913	0.016726944	0.057335164
rs4710729	-0.012662466	0.037357284
rs471172	0.015243537	0.039748379
rs4721606	0.000278034	0.067977912
rs4723132	-0.008673799	0.069303922
rs4734143	-0.005132456	0.033004714
rs4736456	0.028644109	0.084321472
rs4742745	0.003842315	0.045009266
rs4769659	0.001974112	0.033843708
rs4771878	0.009865817	0.030079491
rs4776681	0.000122003	0.067308266
rs4778174	-0.007001407	0.048558355
rs4789888	0.014693851	0.084299867
rs4801194	-0.027195989	0.05831726
rs4812206	-0.012533544	0.03807503
rs4821757	0.005730843	0.050937302
rs4838773	-0.016176174	0.145237212
rs4841952	0.019899374	0.030877435
rs4845450	0.0234825	0.039962486
rs4854436	-0.001056985	0.03915744
rs486311	0.00624439	0.022208211
rs4868038	0.014767215	0.053422201
rs4884402	0.011950281	0.043386678
rs4902979	0.002852106	0.099735678
rs4920935	0.001167328	0.038380354
rs4936562	-0.015885793	0.04197745
rs4950474	-0.014719164	0.039626468
rs4973588	0.020168208	0.044524255
rs4978922	-0.004858327	0.040647295
rs4978978	-0.01159979	0.052373524
rs4985000	-0.004310906	0.037168772
rs4995840	-0.001029266	0.047319497
rs5007032	0.004745935	0.048502342
rs519419	0.016953785	0.034580974
rs522596	-0.006458559	0.041803598
rs523228	-0.029412048	0.043347128
rs529453	-0.001925483	0.034676062
rs547136	-0.009299116	0.074994118
rs567042	-0.000410607	0.046129003
rs570594	0.011462824	0.04859937
rs572541	0.003177558	0.053864813
rs575208	0.005664499	0.040628976
rs5755730	-0.031658376	0.040160234
rs580287	-0.0096091	0.046374935
rs595735	-0.007380577	0.03956049
rs598782	0.008833552	0.059650069
rs5998068	-0.000318975	0.060552108
rs600220	-0.014563346	0.022897656
rs6011536	0.004961245	0.034378017
rs6014027	0.015881055	0.063103129
rs6017414	0.011204301	0.062743258
rs6024982	0.012993479	0.068026555
rs6041150	0.030038791	0.039937503
rs6046035	-0.040847458	0.040677786
rs6063779	-0.002689784	0.046696038
rs6067191	0.025888606	0.040301825
rs6077576	0.008815813	0.030589792
rs6088857	-0.010474126	0.046084364
rs6094629	0.020246022	0.065013853
rs609552	-0.010912838	0.027447918
rs6102774	0.008107851	0.061455371
rs6113283	-0.00383029	0.054623015
rs6114319	0.010290637	0.045624285
rs6133455	-0.018036531	0.070850471
rs627663	-0.00127249	0.060302736
rs634344	-0.041341373	0.054853516
rs637740	0.015743779	0.040349085
rs6430212	-0.016542295	0.039835978
rs6431987	-0.022175648	0.053567323
rs6463082	0.003280223	0.052612514
rs6480911	-0.007485508	0.022580862
rs6487050	-0.001809806	0.031406719
rs6496586	-0.035384947	0.038816935
rs6499157	0.016426158	0.037511846
rs6501626	0.017426778	0.050705338
rs651208	0.007327821	0.02173575
rs6545320	-0.006007847	0.044809618
rs6552052	-0.003847375	0.055012325
rs6562962	-0.005337788	0.055119033
rs6566003	-0.011729606	0.049807355
rs6576819	-0.006199986	0.058536127
rs6602068	0.006276466	0.04608827
rs663953	-0.010001168	0.061590009
rs666266	0.018331403	0.049015821
rs6672888	-0.000361301	0.080446217
rs6698270	0.01188727	0.079043286
rs6701710	-0.004307197	0.068384728
rs6706169	-0.010557257	0.041859553
rs6731938	0.008871218	0.053479407
rs674428	-0.014623287	0.041180637
rs6745506	0.000961507	0.047921425
rs6748928	-0.01150163	0.04968575
rs6751582	-0.006731578	0.043126034
rs6754588	-0.003760378	0.038843523
rs6764048	-0.012372779	0.057585351
rs6769972	0.009021024	0.042348862
rs6786118	-0.00181089	0.028344322
rs6790465	0.017229001	0.055088214
rs6802086	0.008082197	0.056424977
rs6806378	0.000770622	0.057909117
rs6809722	0.014485604	0.054630574
rs6815593	0.00608209	0.053349896
rs6832679	0.015969592	0.089328322
rs6834299	0.004878724	0.044360678
rs6838703	-0.009781799	0.045367102
rs6840907	-0.000866828	0.056325337
rs6846945	0.0162464	0.028928779
rs685472	-0.02103804	0.060649409
rs6866172	0.011398723	0.063828942
rs6877338	-0.006796746	0.056177747
rs6882117	-0.007930132	0.03272378
rs6887371	0.010659384	0.055285812
rs6892	0.009848715	0.043019065
rs6895205	-0.009141681	0.028875625
rs6896683	-0.023012506	0.051351901
rs6897692	0.012606135	0.059070686
rs6907727	0.021392912	0.055253073
rs6907883	0.017032606	0.039987104
rs6926054	-0.006758222	0.048528218
rs6930625	-0.013600022	0.071959509
rs6939506	0.026193066	0.060683064
rs6974894	-0.00876442	0.044939962
rs6976831	0.006997385	0.036797003
rs6977547	-0.021441326	0.052493391
rs7002159	0.004399387	0.05107115
rs7015436	0.003072066	0.035917479
rs7023634	0.011339865	0.043503001
rs7030931	0.022501871	0.060402446
rs7033389	-0.001240953	0.046685615
rs7039008	0.002087385	0.034116412
rs7045287	-0.019961522	0.067596715
rs7072642	-0.003393553	0.039026096
rs7099590	0.012813903	0.049939747
rs7101768	0.004710681	0.063941176
rs7101961	0.002455002	0.042123289
rs7108582	-0.002135902	0.055873172
rs7111317	-0.021405485	0.083386711
rs7114202	0.012632543	0.029069189
rs7116365	-0.005655146	0.050147619
rs7123725	-0.008762272	0.053126674
rs7164968	-0.019618706	0.044615144
rs716701	-0.004461963	0.040212666
rs7175406	0.004563029	0.061657077
rs7198251	0.01585473	0.051273937
rs7208713	0.005912234	0.067092934
rs7212007	-0.010319465	0.073011479
rs7212825	0.004958874	0.074065779
rs723714	0.010314181	0.074195993
rs7239827	-0.007003855	0.081158468
rs7240456	0.027184187	0.036775632
rs7241299	-0.014884433	0.066697062
rs7277916	0.011021092	0.055866801
rs7277926	0.013292982	0.03555149
rs727977	0.00786164	0.051802075
rs7305194	0.004353693	0.056055747
rs7313545	-0.012912154	0.039374661
rs7321308	-0.013548615	0.052433687
rs737107	-0.001966437	0.045204116
rs7419694	-0.003239638	0.068892993
rs742547	-0.005572119	0.045039859
rs744357	0.00653264	0.055005606
rs7476743	-0.013982126	0.030849978
rs7499584	0.005934196	0.04919807
rs7522354	-0.008121449	0.054353936
rs7537892	-0.005423276	0.046241605
rs755	0.016506317	0.035067296
rs7553793	-0.018146511	0.037676972
rs7571944	0.013435392	0.061237203
rs7575343	-0.02610317	0.039388548
rs7578319	-0.012299616	0.028159132
rs7581043	-0.032165595	0.065907521
rs760620	-0.025480221	0.089334375
rs7608213	9.84767E-05	0.02845346
rs7613696	-0.018652663	0.031584868
rs761783	-0.006302746	0.050344704
rs7638344	0.023804589	0.044932472
rs7644002	-0.025442612	0.038725414
rs7646473	-0.018650265	0.05166354
rs7657457	-0.009021931	0.043810761
rs7663681	0.015198627	0.043463651
rs766829	-0.006880327	0.052335488
rs7675404	-0.006652692	0.068542753
rs7686961	0.000237013	0.050312009
rs7695786	-0.019452439	0.058357057
rs7697022	-0.003023844	0.036102059
rs769866	0.016460698	0.057390764
rs7699760	-0.013629727	0.034009676
